dataset,target,assessor,arm,scope,n,auroc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4492,0.800488
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4492,0.885080
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4492,0.874294
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4492,0.844974
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4492,0.703756
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4492,0.729230
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4492,0.724142
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4492,0.679867
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4492,0.616736
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4492,0.588730
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4492,0.603655
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4492,0.548303
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4492,0.839888
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4492,0.892575
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4492,0.880845
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4492,0.875446
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4492,0.385146
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4492,0.559959
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4492,0.525141
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4492,0.498829
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6321,0.738981
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,6321,0.867508
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,6321,0.835993
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6321,0.830174
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,6321,0.624040
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,6321,0.612551
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,6321,0.614189
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6321,0.623588
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-thought,6321,0.544296
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-action,6321,0.504981
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,6321,0.518535
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6321,0.477908
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-thought,6321,0.732206
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-action,6321,0.855137
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-mean,6321,0.819390
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6321,0.846887
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-thought,6321,0.462199
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-action,6321,0.543153
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-mean,6321,0.518967
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6321,0.422351
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6445,0.698895
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-action,6445,0.822430
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-mean,6445,0.781976
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6445,0.797596
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6445,0.615052
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6445,0.603034
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6445,0.596337
