variant,judge,dataset,target,construct,n_scores,mean_u,slope,intercept,reference_targets,pi_hat,cut,ba_hat,ba_lo,ba_hi,extrapolation,eval_construct,n,n_pos,n_neg,realised_pct,ba_at_cut,ba_star,V,note
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,violation+judgment,3754,2194,1560,0.506393,0.694842,0.696344,0.675157,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,violation+judgment,3859,1878,1981,0.489764,0.682004,0.687632,0.650785,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,violation+judgment,763,763,0,,,,,single class under this construct
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,violation+judgment,3754,2194,1560,0.506393,0.694842,0.696344,0.675157,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,violation+judgment,3859,1878,1981,0.489764,0.682004,0.687632,0.650785,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,violation+judgment,763,763,0,,,,,single class under this construct
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,violation+judgment,1914,390,1524,0.678161,0.818342,0.838906,0.763886,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,violation+judgment,1202,259,943,0.698003,0.832317,0.841506,0.731007,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,violation+judgment,1914,390,1524,0.678161,0.818342,0.838906,0.763886,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,violation+judgment,1202,259,943,0.698003,0.832317,0.841506,0.731007,
