num_id,description,value,ci,labels,construct,claim_id,section,source_path,source_sha,notes
IND-01,external judge beats self per arm (violation),external>self in 10/11 arms; CI excludes 0 in 7,,L2,violation,C-indep,S5_independence,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,per-arm deltas in tables_S1/S1b_independence_L2_violation.csv
IND-02,external judge beats self per arm (outcome),external>self in 10/11 arms; CI excludes 0 in 8,,L2,outcome,C-indep,S5_independence,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
IND-03,external judge beats self per arm (judgment),external>self in 10/11 arms; CI excludes 0 in 10,,L2,judgment,C-indep,S5_independence,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
IND-04,external judge beats self per arm (y_env),external>self in 10/11 arms; CI excludes 0 in 7,,L2,y_env,C-indep,S5_independence,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
IND-05,external judge beats self per arm (violation+judgment),external>self in 9/11 arms; CI excludes 0 in 10,,L2,violation+judgment,C-indep,S5_independence,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,primary construct
IND-06,capable external superiority pooled delta (A30 pred i),0.2222; capable wins 11/11 countable external cells,"[0.1802, 0.2724]",L2,violation+judgment,C-a30i,S5_independence,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,paired episode bootstrap then cell bootstrap; n=11
IND-07,self-inflation larger under outcome (A30 pred ii),0.1185 mean difference-of-differences; larger in 9/11 arms,"[0.0359, 0.2054]",L2,outcome vs violation+judgment,C-a30ii,S5_independence,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,per-arm dd in tables_S1/S1c_pred_ii_L2.csv
IND-08,upward-probing boundary (L1-era),Qwen/hotpot self 0.842 vs Llama-70B judge 0.816; Llama/alf self 0.883 vs Qwen judge 0.893 (+0.010 within noise),,L1,ensemble,C-indep,S5_independence,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§5 stated boundary; independence holds downward and peer-level only
IND-09,upward-probing boundary (L2 primary),"hotpotqa/Llama-70B self 0.9017 vs best-external 0.8925 (delta -0.0092 CI [-0.0261,0.0068]); hotpotqa/Qwen3.6 self 0.9214 vs 0.9031 (delta -0.0183 CI [-0.0344,-0.0018])",,L2,violation+judgment,C-indep,S5_independence,tables_S1/S1b_independence_L2_violation-judgment.csv,9a17eb036768db532e37427b9c1d02723b80b7f132f0e913f5c6f3023ea8c162,the 2 of 11 arms where external does not beat self
IND-10,independence go/no-go margins (L1-era),4/4 arms; gains +0.19 to +0.30; external readings 0.815-0.927,,L1,ensemble,C-indep,S5_independence,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§5; Qwen-35B judge on 4B-class frozen trajectories
SL-01,self-scored uncertainty depression on same steps,+0.128 mean depression on incorrect steps across 11 arms; correct steps +0.048,,L2,violation+judgment,C-selfleniency,S5_independence,FINAL_BUNDLE/claim_evidence_map.csv,a8213c26c4dcccf543823806f7e230f3697e34b3534d7f240a0d4d954aeb6668,claim row cites reports/tables/uncertainty_levels.csv as evidence table
SL-02,self-cell competence-estimate error,alf Qwen->Qwen delta-p -0.140 (true p 0.382 vs p-hat 0.242); hot Qwen->Qwen -0.105 (0.153 vs 0.049); cross-cell mean |delta-p| 0.052,,L1,ensemble,C-selfleniency,S5_independence,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§5 boundary table; also GATE2B1_SUMMARY P-g2 failures
CH-01,mean OOS gain of value over verdict,+0.0652 over 60 cells,"[0.0517, 0.0793]",L1,ensemble,C-chan,S6_instrument,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,cell bootstrap 2000
CH-02,fraction of cells value beats verdict,55/60 (0.9167),"[0.8500, 0.9833]",L1,ensemble,C-chan-frac,S6_instrument,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,
CH-03,L2 b1 gain (violation),+0.133; value>=verdict in 48/56 cells,,L2,violation,C-chan,S6_instrument,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,S1d table
CH-04,L2 b1 gain (outcome),+0.110; 50/56 cells,,L2,outcome,C-chan,S6_instrument,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
CH-05,L2 b1 gain (judgment),+0.074; 52/56 cells,,L2,judgment,C-chan,S6_instrument,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
CH-06,L2 b1 gain (y_env),+0.117; 49/56 cells,,L2,y_env,C-chan,S6_instrument,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,
CH-07,L2 b1 gain (violation+judgment),+0.073; 52/56 cells,,L2,violation+judgment,C-chan,S6_instrument,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,primary construct
CH-08,in-sample optimism of the fitted cut,+0.009,,L1,ensemble,C-chan,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§1: the win is not overfitting
AD-01,corr(flag rate; target error rate) per judge,Llama-70B +0.978; Qwen-35B +0.956; Mistral-7B +0.834; Phi-4-mini +0.706; gemma-3-4b +0.690,,L1,ensemble,C-adaptivity,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§2 consensus table
