dataset,model,task_id,step_idx,action_parsed,plan_len_before,plan_len_after,y_tier_b,b_reason,replay_diverged,obs_match
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,1,go to desk 1,3,2,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,2,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,3,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,4,examine desklamp 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,5,examine desklamp 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,6,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,7,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,8,use desklamp 1,2,1,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,9,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,10,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,11,take alarmclock 2 from desk 1,1,0,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,1,go to desk 1,4,3,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,2,examine desk 1,3,3,1,B1_plan_not_shortened,0,1
