env,judge,class,target_a,target_b,w1
alfworld,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,2.5776
alfworld,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,5.9950
alfworld,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,5.4023
alfworld,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,1.9266
alfworld,Llama-3.3-70B-Instruct,correct,Phi-4-mini-instruct,Qwen3.6-35B-A3B,8.5725
alfworld,Llama-3.3-70B-Instruct,correct,Phi-4-mini-instruct,deepseek-v4-flash,7.9798
alfworld,Llama-3.3-70B-Instruct,correct,Phi-4-mini-instruct,gemma-3-4b-it,0.6510
alfworld,Llama-3.3-70B-Instruct,correct,Qwen3.6-35B-A3B,deepseek-v4-flash,0.5989
alfworld,Llama-3.3-70B-Instruct,correct,Qwen3.6-35B-A3B,gemma-3-4b-it,7.9216
alfworld,Llama-3.3-70B-Instruct,correct,deepseek-v4-flash,gemma-3-4b-it,7.3288
alfworld,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,1.0640
alfworld,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,9.9906
alfworld,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,6.7553
alfworld,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,1.4056
alfworld,Llama-3.3-70B-Instruct,incorrect,Phi-4-mini-instruct,Qwen3.6-35B-A3B,11.0546
alfworld,Llama-3.3-70B-Instruct,incorrect,Phi-4-mini-instruct,deepseek-v4-flash,7.8193
alfworld,Llama-3.3-70B-Instruct,incorrect,Phi-4-mini-instruct,gemma-3-4b-it,0.3416
alfworld,Llama-3.3-70B-Instruct,incorrect,Qwen3.6-35B-A3B,deepseek-v4-flash,3.2353
alfworld,Llama-3.3-70B-Instruct,incorrect,Qwen3.6-35B-A3B,gemma-3-4b-it,11.3962
alfworld,Llama-3.3-70B-Instruct,incorrect,deepseek-v4-flash,gemma-3-4b-it,8.1609
alfworld,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,4.6215
alfworld,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,7.1991
alfworld,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1.3735
alfworld,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.7807
alfworld,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,gemma-3-4b-it,6.5481
alfworld,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,4.0272
alfworld,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,5.0912
alfworld,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,5.9634
alfworld,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,deepseek-v4-flash,2.7281
alfworld,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,gemma-3-4b-it,5.4329
alfworld,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.7191
alfworld,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,1.5637
alfworld,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.8310
alfworld,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.8040
alfworld,Qwen3.6-35B-A3B,correct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.8487
alfworld,Qwen3.6-35B-A3B,correct,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,1.5444
alfworld,Qwen3.6-35B-A3B,correct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.2229
alfworld,Qwen3.6-35B-A3B,correct,Phi-4-mini-instruct,deepseek-v4-flash,2.3931
alfworld,Qwen3.6-35B-A3B,correct,Phi-4-mini-instruct,gemma-3-4b-it,0.7635
alfworld,Qwen3.6-35B-A3B,correct,deepseek-v4-flash,gemma-3-4b-it,1.6297
alfworld,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.2696
alfworld,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,1.4600
alfworld,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,deepseek-v4-flash,1.9573
alfworld,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,gemma-3-4b-it,1.2776
alfworld,Qwen3.6-35B-A3B,incorrect,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,1.2005
alfworld,Qwen3.6-35B-A3B,incorrect,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,2.2217
alfworld,Qwen3.6-35B-A3B,incorrect,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,1.0098
alfworld,Qwen3.6-35B-A3B,incorrect,Phi-4-mini-instruct,deepseek-v4-flash,3.4138
alfworld,Qwen3.6-35B-A3B,incorrect,Phi-4-mini-instruct,gemma-3-4b-it,0.1957
alfworld,Qwen3.6-35B-A3B,incorrect,deepseek-v4-flash,gemma-3-4b-it,3.2315
alfworld,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.9420
alfworld,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,1.6570
alfworld,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Phi-4-mini-instruct,2.5057
alfworld,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,deepseek-v4-flash,0.3069
alfworld,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,gemma-3-4b-it,1.7423
