item,dataset,task_id,step_idx,action_parsed,annotator_verdict,annotator_note
S001,alfworld,pick_cool_then_place_in_recep-WineBottle-None-DiningTable-17/trial_T20190908_024426_412044,23,go to cabinet 2,,
S002,hotpotqa,2421,3,Search[Heavy Metal anthology],,
S003,hotpotqa,2748,2,Finish[Germany],,
S004,hotpotqa,5199,4,Search[César Awards nominees],,
S005,hotpotqa,7026,4,Finish[Ngadi Chuli is flanked by Manaslu to the north.],,
S006,hotpotqa,2748,2,Finish[The 7.92×57mm Mauser rifle cartridge was used by Germany's military in the 20th century.],,
S007,alfworld,pick_cool_then_place_in_recep-Egg-None-Microwave-24/trial_T20190908_234112_645480,8,go to drawer 3,,
S008,hotpotqa,2930,5,Search[Tolex cases],,
S009,alfworld,pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032318_169393,3,open drawer 1,,
S010,hotpotqa,6333,1,Search[Caesalpinia species],,
S011,hotpotqa,5853,6,Finish[Stephanie March],,
S012,alfworld,pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068,1,go to sinkbasin 1,,
S013,hotpotqa,5762,7,Search[George Patton Jr. post-war],,
S014,alfworld,pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,13,go to cabinet 2,,
S015,alfworld,pick_cool_then_place_in_recep-Tomato-None-CounterTop-12/trial_T20190909_063754_216554,20,go to countertop 3,,
S016,hotpotqa,6982,5,"Search[""Theodore G. Bilbo"" ""master of""]",,
S017,hotpotqa,2988,5,Search[Case McCoy and Colt McCoy Jim Ned High School],,
S018,hotpotqa,2711,3,Finish[The Battle of Gettysburg took place during the American Civil War.],,
S019,hotpotqa,4080,6,Search[Labor Party Members in New South Wales Legislative Council],,
S020,alfworld,pick_heat_then_place_in_recep-Mug-None-SideTable-21/trial_T20190909_090729_088825,5,open cabinet 2,,
S021,hotpotqa,6180,4,Search[Crown Mountain],,
S022,alfworld,pick_and_place_simple-Box-None-Dresser-224/trial_T20190907_164104_229696,9,go to drawer 4,,
S023,alfworld,pick_clean_then_place_in_recep-Cloth-None-Drawer-423/trial_T20190908_140701_251653,13,go to handtowelholder 3,,
S024,hotpotqa,6986,1,Search[Louis Smith],,
S025,hotpotqa,5866,4,"Finish[Otto Preminger had a broader scope of profession due to his roles as a director, producer, and actor, whereas Edward Dmytryk was primarily a film director and editor.]",,
S026,hotpotqa,5358,2,Finish[1470],,
S027,hotpotqa,2424,2,Finish[Monica Bellucci played Mary Magdalene],,
S028,hotpotqa,2988,6,Search[Case McCoy and Colt McCoy Jim Ned High School],,
S029,hotpotqa,7096,6,Search[Alcorn State University Campus Location],,
S030,hotpotqa,4745,6,Search[Economy of Region of Southern Denmark],,
S031,hotpotqa,6951,5,Finish[behind Big Bad Wolf],,
S032,hotpotqa,1560,3,"Finish[143,229]",,
S033,hotpotqa,1335,5,Finish[five],,
S034,alfworld,pick_heat_then_place_in_recep-Tomato-None-Fridge-23/trial_T20190909_082320_103350,5,move tomato 2 to microwave 1,,
S035,hotpotqa,5032,6,Lookup[hometown],,
S036,hotpotqa,3129,3,Search[Dead Man Walking],,
S037,hotpotqa,1574,3,Lookup[artificial island],,
S038,hotpotqa,5571,3,Search[Home horror movie],,
S039,hotpotqa,5199,5,Search[César Awards nominees list],,
S040,hotpotqa,3188,4,Lookup[libretto],,
S041,alfworld,pick_clean_then_place_in_recep-Cloth-None-Cabinet-405/trial_T20190907_080903_889497,30,done,,
S042,alfworld,pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489,8,go to cabinet 10,,
S043,hotpotqa,7026,2,Search[Manaslu neighboring peaks],,
S044,hotpotqa,6180,3,Search[The Crown Mountain],,
S045,alfworld,pick_and_place_simple-CreditCard-None-Drawer-227/trial_T20190909_010644_297017,28,open cabinet 5,,
S046,alfworld,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,4,inspect CD,,
S047,hotpotqa,6505,6,Finish[Shirley Temple],,
S048,hotpotqa,1162,4,"Lookup[Is Croatan National Forest managed together with the other three North Carolina National Forests (Pisgah, Nantahala, Uwharrie)?]",,
S049,hotpotqa,3378,7,Search[Lapta ball],,
S050,hotpotqa,5939,3,Finish[Bob Gibson],,
S051,alfworld,pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836,30,go to drawer 1,,
S052,alfworld,pick_clean_then_place_in_recep-Ladle-None-CounterTop-14/trial_T20190909_113844_191747,1,go to cabinet 1,,
S053,hotpotqa,3485,3,"Finish[Talking Heads was formed in New York City, which is further north than Auburn, Alabama, where Man or Astro-man? was formed.]",,
S054,hotpotqa,2421,5,Finish[1974],,
S055,alfworld,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,4,go to drawer 1,,
S056,alfworld,pick_two_obj_and_place-Glassbottle-None-Shelf-1/trial_T20190907_122204_941737,2,open cabinet 1,,
S057,alfworld,pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897,2,go to drawer 1,,
S058,hotpotqa,468,5,Search[Kam Heskin early career],,
S059,hotpotqa,1224,4,Search[Miriam Yeung co-stars],,
S060,hotpotqa,6586,2,"Search[Largest shipping facility in the Northeastern United States], Search[Boston Red Sox stadium]",,
S061,hotpotqa,6709,6,Search[Andrea Chénier acts names],,
S062,hotpotqa,6467,4,Search[Siping],,
S063,hotpotqa,6875,2,Finish[Roominate received investments during the sixth season of Shark Tank],,
S064,hotpotqa,4856,1,Search[Al Harrington series],,
S065,hotpotqa,1533,2,Finish[Sir Seretse Khama],,
S066,hotpotqa,4080,6,Search[New South Wales Legislative Council 45 members],,
S067,hotpotqa,5504,4,Search[East African Breweries Limited ownership],,
S068,hotpotqa,1439,2,Search[Major cities in the Northeast Megalopolis],,
S069,hotpotqa,468,1,Search[Paige Morgan film 2004],,
S070,hotpotqa,2501,4,Lookup[Josephine Baker performances at R-26 club],,
S071,hotpotqa,156,4,Lookup[date of the Seven Days Battles],,
S072,hotpotqa,5358,5,Search[1470s births],,
S073,alfworld,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,2,open cabinet 1,,
S074,alfworld,look_at_obj_in_light-CD-None-DeskLamp-314/trial_T20190907_114323_767231,21,examine cd under the desklamp 1,,
S075,hotpotqa,1560,4,"Finish[143,229]",,
S076,hotpotqa,6490,3,Search[500 greatest songs of the 90s list],,
S077,alfworld,pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651,5,go to drawer 1,,
S078,alfworld,pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489,21,go to cabinet 2,,
S079,hotpotqa,4321,2,Finish[Canadian],,
S080,hotpotqa,919,1,Search[Father Ted Cast],,
S081,alfworld,pick_two_obj_and_place-SprayBottle-None-Toilet-429/trial_T20190907_033843_707544,3,go to shelf 2,,
S082,hotpotqa,3253,3,Finish[Victorian England in the 1860s],,
S083,hotpotqa,2609,7,Search[Ruth Vollmer career],,
S084,hotpotqa,2382,7,Search[Jan Kodes biography],,
S085,hotpotqa,4321,3,Finish[Canadian],,
S086,alfworld,pick_cool_then_place_in_recep-Apple-None-CounterTop-14/trial_T20190909_044933_815840,3,go to cabinet 1,,
S087,alfworld,pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,7,open cabinet 3,,
S088,hotpotqa,6092,3,Finish[Karakoram range],,
S089,hotpotqa,628,6,Finish[Prevention (magazine) was started in 1950.],,
S090,hotpotqa,136,1,"Search[Universities in Lubbock, Texas]",,
S091,hotpotqa,6386,5,Lookup[Raphael Holzhauser],,
S092,hotpotqa,1237,2,Search[Old Dogs],,
S093,hotpotqa,924,5,Search[Lutheran Church - Missouri Synod Membership (2024)],,
S094,alfworld,pick_clean_then_place_in_recep-Cloth-None-Cabinet-405/trial_T20190907_080903_889497,45,examine cabinet 5,,
S095,hotpotqa,2143,5,Search[Monthly magazines published in the United States],,
S096,hotpotqa,3634,3,Finish[George Mifflin Dallas],,
S097,hotpotqa,4392,6,Search[Linda Evangelista advertising campaigns],,
S098,hotpotqa,1146,2,Search[Bay Plaza Shopping Center],,
S099,hotpotqa,6166,6,Search[Total Nonstop Action Wrestling Matches and Shows 2007],,
S100,hotpotqa,612,3,Finish[Both Distortion Mirrors and OK Go are considered rock bands.],,
S101,hotpotqa,6324,7,Search[Albert Speer Ministry],,
S102,hotpotqa,851,2,Search[One World airline alliance],,
S103,hotpotqa,1222,7,Search[Airlines based in Vilnius],,
S104,alfworld,pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,23,go to fridge 1,,
S105,alfworld,pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,27,go to drawer 10,,
S106,hotpotqa,6948,3,Finish[Both Kurt Cobain and Glenn Frey worked in the music industry.],,
S107,hotpotqa,5980,3,Finish[Merck],,
S108,alfworld,pick_clean_then_place_in_recep-Fork-None-Drawer-8/trial_T20190908_132152_999725,2,go to sinkbasin 1,,
S109,alfworld,pick_heat_then_place_in_recep-Egg-None-Fridge-14/trial_T20190909_091314_636733,16,inventory,,
S110,alfworld,pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065,27,go to fridge 1,,
S111,hotpotqa,6982,6,Search[Theodore G. Bilbo political career],,
S112,hotpotqa,4321,3,Finish[Canadian],,
S113,hotpotqa,2646,4,Lookup[Pacific Ocean species of Medinilla],,
S114,hotpotqa,2817,3,Search[Gweilo (category Chinese slang)],,
S115,alfworld,pick_and_place_simple-Newspaper-None-Sofa-224/trial_T20190909_111324_949106,8,go to dresser 1,,
S116,hotpotqa,1222,3,Lookup[Vilnius Čiurlionis International Airport closure],,
S117,hotpotqa,1727,4,Search[Facta Loquuntur discography],,
S118,hotpotqa,4330,1,Search[Muammar Gaddafi during Libyan Civil War],,
S119,hotpotqa,2854,6,"Finish[Seoul, South Korea]",,
S120,hotpotqa,1391,5,Search[Alcatraz East founders],,
S121,hotpotqa,3124,1,Search[Japanese main battle tank],,
S122,hotpotqa,7318,2,Search[Zdeno Chara captain],,
S123,hotpotqa,2143,1,"Search[Mirabella], Search[Home Monthly]",,
S124,alfworld,pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,32,put tomato 1 on diningtable 1,,
S125,hotpotqa,6030,4,Lookup[Richie Ginther's teams],,
S126,alfworld,pick_clean_then_place_in_recep-Fork-None-CounterTop-23/trial_T20190908_233922_171295,34,examine drawer 2,,
S127,alfworld,pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,3,open fridge 1,,
S128,alfworld,pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489,29,"go to cabinet 10 (This cabinet is closed, but it's possible that there might be a refrigerator inside.)",,
S129,hotpotqa,7136,3,Lookup[Bellagio location within MGM Resorts International properties],,
S130,hotpotqa,6696,3,Finish[86],,
S131,hotpotqa,3819,2,"Search[Shihad], Search[Morningwood]",,
S132,hotpotqa,5123,4,Search[Head of the House of Habsburg-Lorraine],,
S133,hotpotqa,3913,5,Search[Doping in sport],,
S134,alfworld,pick_and_place_simple-Tomato-None-Microwave-13/trial_T20190908_124829_632660,1,go to fridge 1,,
S135,alfworld,pick_two_obj_and_place-ToiletPaper-None-Drawer-423/trial_T20190907_111251_461099,36,go to drawer 8,,
S136,alfworld,pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,7,open drawer 3,,
S137,hotpotqa,6798,6,Finish[Romance],,
S138,hotpotqa,6596,2,Search[Saw II (film) soundtrack],,
S139,alfworld,pick_clean_then_place_in_recep-Fork-None-CounterTop-23/trial_T20190908_233922_171295,9,go to cabinet 3,,
S140,alfworld,pick_cool_then_place_in_recep-Apple-None-CounterTop-14/trial_T20190909_044933_815840,11,go to cabinet 3,,
S141,alfworld,pick_cool_then_place_in_recep-Tomato-None-Microwave-18/trial_T20190909_012524_159092,20,go to drawer 4,,
S142,hotpotqa,3341,3,Finish[Philip K. Dick],,
S143,hotpotqa,3291,4,Search[Dallas Cowboys wide receivers coach current],,
S144,hotpotqa,2319,1,Search[Louise opera],,
S145,hotpotqa,2748,6,Search[military use of 7x57mm Mauser cartridge],,
S146,hotpotqa,1391,4,Lookup[John Morgan's date of birth],,
S147,hotpotqa,6406,4,Lookup[composer],,
S148,hotpotqa,5821,5,Search[WonderWorks film adaptations],,
S149,hotpotqa,2648,3,"Search[Current population of Brandon, Mississippi]",,
S150,hotpotqa,4152,4,Search[Chris Brown No Problem],,
