run_id,task_id,step_idx,dataset,model,in_matrix,action_parsed,y_env,y_env_source,y_env_conflict,y_tier_a,A1,A2,A3,A4,tier_a_rules,y_tier_b,b_reason,plan_len_before,plan_len_after,replay_diverged,y_suffix,y_ensemble,judge_frac_correct,judge_n_valid,judge_present,labelable_env,unlabelable_reason,U_verbalized,in_admissible,obs_changed,loop_flag,skip_reasons,episode_present,episode_success,terminal_reason,episode_em,episode_f1,productive
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,1,alfworld,Llama-3.3-70B-Instruct,1,go to armchair 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.0,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,2,alfworld,Llama-3.3-70B-Instruct,1,inventory,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,3,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,4,alfworld,Llama-3.3-70B-Instruct,1,open drawer 1,0,tier_b,0,,0,0,0,0,,0,B1_plan_shortened,4,3,0,0,0,1.0,3,1,1,,0.1,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,5,alfworld,Llama-3.3-70B-Instruct,1,take creditcard 2 from drawer 1,0,tier_b,0,,0,0,0,0,,0,B1_plan_shortened,3,2,0,0,0,1.0,3,1,1,,0.0,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,6,alfworld,Llama-3.3-70B-Instruct,1,go to armchair 1,1,both,1,1,0,0,1,0,A3_exact_repeat,0,B1_plan_shortened,2,1,0,0,0,1.0,3,1,1,,0.05,True,True,True,,1,1,success,,,0
entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,7,alfworld,Llama-3.3-70B-Instruct,1,move creditcard 2 to armchair 1,0,tier_b,0,,0,0,0,0,,0,B1_plan_shortened,1,0,0,0,0,1.0,3,1,1,,0.0,True,True,False,,1,1,success,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,1,alfworld,Llama-3.3-70B-Instruct,1,go to sidetable 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,2,alfworld,Llama-3.3-70B-Instruct,1,examine sidetable 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,1,0.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,3,alfworld,Llama-3.3-70B-Instruct,1,look,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,,0.3333333333333333,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,4,alfworld,Llama-3.3-70B-Instruct,1,inventory,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.0,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,5,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,6,alfworld,Llama-3.3-70B-Instruct,1,open drawer 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,7,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 2,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,8,alfworld,Llama-3.3-70B-Instruct,1,open drawer 2,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,9,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 3,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,10,alfworld,Llama-3.3-70B-Instruct,1,open drawer 3,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,11,alfworld,Llama-3.3-70B-Instruct,1,open drawer 4,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,12,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 5,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,13,alfworld,Llama-3.3-70B-Instruct,1,open drawer 5,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,14,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 6,1,both,0,1,1,0,0,0,A1_inadmissible,1,B1_plan_not_shortened,4,4,0,0,,0.6666666666666666,3,1,1,,0.2,False,True,False,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,15,alfworld,Llama-3.3-70B-Instruct,1,open drawer 6,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,16,alfworld,Llama-3.3-70B-Instruct,1,go to drawer 7,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,17,alfworld,Llama-3.3-70B-Instruct,1,open drawer 7,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,18,alfworld,Llama-3.3-70B-Instruct,1,go to sidetable 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,0,1,0.0,3,1,1,,0.8,True,True,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,19,alfworld,Llama-3.3-70B-Instruct,1,go to sidetable 2,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,20,alfworld,Llama-3.3-70B-Instruct,1,go to sidetable 3,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,21,alfworld,Llama-3.3-70B-Instruct,1,examine sidetable 3,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,,0.3333333333333333,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,22,alfworld,Llama-3.3-70B-Instruct,1,inventory,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,0,1,0.0,3,1,1,,0.5,True,True,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,23,alfworld,Llama-3.3-70B-Instruct,1,take creditcard 3 from sidetable 3,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,5,0,0,1,0.0,3,1,1,,0.8,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,24,alfworld,Llama-3.3-70B-Instruct,1,move creditcard 3 to sidetable 3,0,tier_b,0,,0,0,0,0,,0,B1_plan_shortened,5,4,0,0,1,0.0,3,1,1,,0.8,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,25,alfworld,Llama-3.3-70B-Instruct,1,go to sofa 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,26,alfworld,Llama-3.3-70B-Instruct,1,examine sofa 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,,0.3333333333333333,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,27,alfworld,Llama-3.3-70B-Instruct,1,take box 1 from sofa 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,5,0,0,,0.3333333333333333,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,28,alfworld,Llama-3.3-70B-Instruct,1,examine box 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,5,5,0,0,,0.6666666666666666,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,29,alfworld,Llama-3.3-70B-Instruct,1,go to armchair 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,5,5,0,0,0,1.0,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,30,alfworld,Llama-3.3-70B-Instruct,1,examine box 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,5,5,0,0,1,0.0,3,1,1,,0.2,True,True,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,31,alfworld,Llama-3.3-70B-Instruct,1,examine armchair 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,5,5,0,0,,0.3333333333333333,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,32,alfworld,Llama-3.3-70B-Instruct,1,examine armchair 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,5,5,0,0,1,0.0,3,1,1,,0.2,True,False,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,33,alfworld,Llama-3.3-70B-Instruct,1,examine box 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,5,5,0,0,1,0.0,3,1,1,,0.8,True,True,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,34,alfworld,Llama-3.3-70B-Instruct,1,examine armchair 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,5,5,0,0,1,0.0,3,1,1,,0.2,True,True,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,35,alfworld,Llama-3.3-70B-Instruct,1,go to sofa 2,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,5,5,0,0,0,1.0,3,1,1,,0.5,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,36,alfworld,Llama-3.3-70B-Instruct,1,examine sofa 2,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,5,5,0,0,,0.3333333333333333,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,37,alfworld,Llama-3.3-70B-Instruct,1,go to coffeetable 1,0,tier_b,0,,0,0,0,0,,0,B1_plan_shortened,5,4,0,0,0,1.0,3,1,1,,0.4,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,38,alfworld,Llama-3.3-70B-Instruct,1,examine coffeetable 1,1,tier_b,0,,0,0,0,0,,1,B1_plan_not_shortened,4,4,0,0,,0.3333333333333333,3,1,1,,0.2,True,True,False,,1,0,step_cap,,,1
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,39,alfworld,Llama-3.3-70B-Instruct,1,examine coffeetable 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,1,1,0.0,3,1,1,,0.2,True,False,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,40,alfworld,Llama-3.3-70B-Instruct,1,examine coffeetable 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,1,1,0.0,3,1,1,,0.2,True,False,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,41,alfworld,Llama-3.3-70B-Instruct,1,examine coffeetable 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,1,1,0.0,3,1,1,,0.2,True,False,True,,1,0,step_cap,,,0
entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,42,alfworld,Llama-3.3-70B-Instruct,1,examine coffeetable 1,1,both,0,1,0,0,1,0,A3_exact_repeat,1,B1_plan_not_shortened,4,4,0,1,1,0.0,3,1,1,,0.2,True,False,True,,1,0,step_cap,,,0
