dataset,target,assessor,arm,scope,n,n_ep,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,140,0.7581,0.7693,0.7616,0.0077,0.0035
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6482,140,0.7290,0.7662,0.7600,0.0062,0.0310
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6604,140,0.6664,0.7378,0.7374,0.0004,0.0709
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3197,140,0.6469,0.6992,0.7082,-0.0090,0.0613
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3304,120,0.7133,0.7492,0.7449,0.0043,0.0316
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6790,140,0.7096,0.7992,0.7863,0.0129,0.0767
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,140,0.5101,0.6215,0.6166,0.0050,0.1064
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6482,140,0.5040,0.5864,0.5814,0.0050,0.0774
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6604,140,0.4985,0.5719,0.5512,0.0207,0.0527
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3197,140,0.4997,0.5574,0.5426,0.0149,0.0429
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3304,120,0.4991,0.5588,0.5268,0.0320,0.0277
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6790,140,0.5167,0.6713,0.6689,0.0023,0.1522
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,140,0.5270,0.5397,0.5181,0.0216,-0.0089
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6482,140,0.4843,0.5079,0.5033,0.0045,0.0191
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6604,140,0.4792,0.5086,0.4975,0.0111,0.0183
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3197,140,0.4970,0.5044,0.4996,0.0048,0.0026
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3304,120,0.4913,0.5152,0.4868,0.0285,-0.0045
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6790,140,0.5067,0.5337,0.5232,0.0105,0.0166
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,4113,140,0.5833,0.5884,0.5849,0.0035,0.0017
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,4265,140,0.5645,0.6308,0.6304,0.0004,0.0659
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,140,0.7533,0.8192,0.8230,-0.0038,0.0697
