claim_id,claim_sentence,evidence_table,number,ci,status
C-indep,external judges read a target better than the target reads itself,tables_S1/S1b_independence_L2_*.csv,9-10 of 11 arms under every construct,7-10 arms with CI excluding 0,supported
C-chan,reading the P(True) value beats reading the verdict out-of-sample,reports/tables/verdict_vs_value.csv + tables_S1/L2_*/S1d_b1_console.txt,+0.065 L1; +0.073 to +0.133 per construct L2,"[0.052, 0.079]",supported
C-chan-frac,the value beats the verdict in the large majority of cells,reports/tables/verdict_vs_value.csv,55/60 L1; 48-52/56 L2,"[0.850, 0.983]",supported
C-tier,capable-tier judges beat the tier below,tables_S1/S1a_crossprobe_L2_violation-judgment.csv,+0.282,"[0.235, 0.329]",supported
C-a30i,capable external superiority holds on the primary construct,tables_S1/S1c_pred_i_L2.csv,11/11 cells pooled delta 0.2222,"[0.180, 0.272]",supported
C-a30ii,self-probe inflation is larger under outcome labels than under violation+judgment,tables_S1/S1c_pred_ii_L2.csv,9/11 arms mean dd 0.1185,"[0.036, 0.205]",supported
C-frontier,a frontier API judge does not beat capable open judges,tables_S5/S5_frontier_vs_open.csv,-0.0209 vs capable; +0.1473 vs all open,per-cell CIs in table,supported
C-200label,a step-level operating point can be calibrated from ~200 labelled episodes,tables_P3/label_source_menu.csv,0.8083 primary construct,"[0.7858, 0.8292]",supported
C-daylone,a day-one violation-calibrated cut needs zero human labels,tables_P3/label_source_menu.csv,0.8012 primary; 0.6717 outcome,"[0.7776, 0.8212]",supported-with-caveat
C-h-withingate,the h-rule transfers across targets within a gate,tables_gate3/gate3_cells_violation-judgment.csv,20/22 capture 0.940,"pass-rate [0.773, 1.000]",PASS (marginal)
C-h-forecast,the h-rule survives forecast-first validation on untouched targets,tables_gate4/A_forecast_evaluation.csv,P-A1 6/8 vs >=8/10,n/a,REFUTED
C1-nointrinsic,no intrinsic self-assessment metric transfers across arms — the best-metric recipe flips by arm and environment,reports/results_report_2026-08-05.md + reports/tables/selfassess_auroc.csv,"P(True) best in 7/11 arms; recipe flips by arm; ~-0.10 transfer cost",n/a,supported
C1-lengthconfound,trajectory-level evaluation is length-confounded — episode length alone separates outcomes,reports/results_report_2026-08-05.md,AUROC ~= 1.0 from length alone,n/a,supported
C1-selfceiling,self-assessment has a capability ceiling relative to external judging,reports/tables/selfassess_auroc.csv,"best-metric-per-arm 0.622-0.883; non-capable arms 0.622-0.725 vs external 0.876-0.898",n/a,supported
C4-corpus,"the released corpus carries three label constructs with per-step provenance and a circularity audit",reports/gate1/labels_gate1.csv + reports/gate1/GATE1_SUMMARY.md,"62,065 rows; violation/outcome/judgment; ensemble error 9.1% -> 2.0% ex-A4",n/a,artifact
C-selfleniency,judges under-read their own agents — self-scored uncertainty is depressed relative to external judges on the same steps,reports/tables/uncertainty_levels.csv,"+0.128 mean depression on incorrect steps across 11 arms (correct steps +0.048)",n/a,supported
C-adaptivity,the verdict is adaptive but misplaced — its flag rate tracks the true error rate yet sits at the wrong operating point,reports/OPERATING_POINT_REPORT.md,"flag-rate vs error-rate r ~= 0.97; under-flags low-error regimes",n/a,supported
C-frontierasym,the frontier judge deficit is smallest on the judgment construct and roughly doubles on environment constructs,tables_S5/S5_frontier_vs_open.csv,"judgment -0.026; violation -0.037; outcome -0.064; y_env -0.061",per-cell CIs in table,supported (pre-registered)
C-prequential,the sequential form tracks the batch rule,tables_P3/S71_prequential_h.csv,-0.0004 mean penalty,n/a,supported
C-invariance,class-conditional score distributions are target-invariant,tables_gate4/B_invariance_verdict.csv,"hotpotqa 0.162/0.151 holds; alfworld 0.809/0.364 fails",n/a,SPLIT
C-stability,fit stability predicts forecast accuracy,tables_gate4/C_fit_stability.csv,3 of 4 fits stable; unstable judge has worst forecasts,n/a,candidate-necessary-n2
C-crossenv,the h-rule transfers across environments,tables_gate4/D_cross_env_h.csv,-0.0024,"[-0.0047, 0.0001]",no-claim
N-fixedpct,fixed-percentile transfer,tables_S1/L2_*/S1d_A28_console.txt,12/22 capture 0.310,n/a,NEGATIVE RESULT
N-grule,error-rate-indexed (g) transfer,tables_S1/L2_*/S1d_A28_1_console.txt,17/22 capture 0.455,"[0.097, 0.847]",NEGATIVE RESULT
N-mixture,mixture-cut placement,tables_gate3/gate3_cells_violation-judgment.csv,8/22 capture -0.180,n/a,NEGATIVE RESULT
N-retrostream,retrospective-stream mechanism,A31,not tested,n/a,DROPPED (A31)
N-hindsight,hindsight-ceiling measurement,A35,void (template bug),n/a,DROPPED (A35)
C-cost,"capable open judges dominate the tested frontier judge on both accuracy and per-step cost in the monitoring regime — measured $7.60/1k steps (gpt-4o, b3 receipt) vs ~$0.05–0.10/1k self-hosted at the measured 3,300 assessments/5min/A100",S5 cost column + throughput manifest,"−0.021 primary Δ; ~75–150× cost ratio",n/a — measured receipts,supported (scoped to tested frontier model)
