dataset,target,assessor,arm,scope,n,auroc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4765,0.636337
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4765,0.691208
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4765,0.680078
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,0.666655
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4765,0.627317
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4765,0.636742
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4765,0.632238
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,0.638416
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4765,0.649062
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4765,0.628215
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4765,0.639445
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,0.612040
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4765,0.685653
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4765,0.718642
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4765,0.706636
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,0.701625
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4765,0.535133
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4765,0.591395
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4765,0.584020
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,0.573043
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6482,0.655825
