dataset,model,in_matrix,run_id,task_id,step_idx,action_parsed,A1,A2,A3,A4,tier_a_rules,y_tier_a,in_admissible,obs_changed,loop_flag,skip_reasons,U_verbalized,judge_present,judge_n_valid,judge_frac_correct,y_ensemble,episode_present,episode_success,terminal_reason,episode_em,episode_f1,productive,y_suffix
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,1,go to armchair 1,0,0,0,0,,,True,True,False,,0.0,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,2,inventory,0,0,0,0,,,True,True,False,,0.2,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,3,go to drawer 1,0,0,0,0,,,True,True,False,,0.4,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,4,open drawer 1,0,0,0,0,,,True,True,False,,0.1,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,5,take creditcard 2 from drawer 1,0,0,0,0,,,True,True,False,,0.0,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,6,go to armchair 1,0,0,1,0,A3_exact_repeat,1,True,True,True,,0.05,1,3,1.0,0,1,1,success,,,0,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-CreditCard-None-ArmChair-201/trial_T20190908_124340_258012,7,move creditcard 2 to armchair 1,0,0,0,0,,,True,True,False,,0.0,1,3,1.0,0,1,1,success,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,1,go to sidetable 1,0,0,0,0,,,True,True,False,,0.2,1,3,1.0,0,1,0,step_cap,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,2,examine sidetable 1,0,0,0,0,,,True,True,False,,0.2,1,3,0.0,1,1,0,step_cap,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,3,look,0,0,0,0,,,True,True,False,,0.4,1,3,0.3333333333333333,,1,0,step_cap,,,1,0
alfworld,Llama-3.3-70B-Instruct,1,entangled_l70,pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,4,inventory,0,0,0,0,,,True,True,False,,0.0,1,3,1.0,0,1,0,step_cap,,,1,0
