claim_id,quantity,estimate,ci_lo,ci_hi,null_value,verdict_label,method,n,source_table,status,note
C-g2,S-g-quantile >= V on capable cells (P-g2),0.7727,0.6364,0.9545,0.8000,FAIL (CI spans bar),"cell bootstrap, 2000",22,figures/tables_gate2b1/gate2b1_cells_AGG-true_full.csv,soften,"L2 pass of record, primary construct violation+judgment (17/22). CI is the L1-era interval; the point estimate is L2."
C-cap,pooled capture ratio of the g-rule (capable),0.4550,0.0970,0.8471,0.5000,FAIL (CI spans bar),"cell bootstrap of the ratio, 2000",16,figures/tables_gate2b1/gate2b1_cells_AGG-true_full.csv,soften,"L2 pass of record, primary construct violation+judgment. CI is the L1-era interval; the point estimate is L2."
C-chan,mean OOS gain of value over verdict,0.0652,0.0517,0.0793,0.0000,clear,"cell bootstrap, 2000",60,reports/tables/verdict_vs_value.csv,ok,
C-chan-frac,fraction of cells where value beats verdict,0.9167,0.8500,0.9833,0.5000,clear,"cell bootstrap, 2000",60,reports/tables/verdict_vs_value.csv,ok,
C-a30i,capable external superiority (violation+judgment),0.2222,0.1802,0.2724,0.0000,clear,paired episode bootstrap then cell bootstrap,11,tables_S1/S1abc_L2.json,ok,
C-a30ii,self-inflation larger under outcome than violation+judgment,0.1185,0.0359,0.2054,0.0000,clear,cell bootstrap of difference-of-differences,11,tables_S1/S1abc_L2.json,ok,
C-tier,capable-tier assessors beat the tier below,0.2820,0.2353,0.3293,0.0000,clear,unpaired cell bootstrap (different cell sets),45,tables_S1/S1a_crossprobe_L2_violation-judgment.csv,ok,"capable mean 0.8871 (n=18), non-capable 0.6050 (n=27)"
C-h-passrate,arm0_h_rule pass-rate vs V,0.9091,0.7727,1.0000,0.8000,PASS (marginal),"cell bootstrap, 2000",22,tables_gate3/gate3_cells_violation-judgment.csv,soften,
C-h-capture,arm0_h_rule pooled capture,0.9394,0.7964,1.0408,0.5000,clear,"cell bootstrap, 2000",16,tables_gate3/gate3_cells_violation-judgment.csv,ok,
C-viol-passrate,arm2_violation pass-rate vs V,0.8636,0.7273,1.0000,0.8000,PASS (marginal),"cell bootstrap, 2000",22,tables_gate3/gate3_cells_violation-judgment.csv,soften,
C-viol-capture,arm2_violation pooled capture,0.9685,0.8822,1.0318,0.5000,clear,"cell bootstrap, 2000",16,tables_gate3/gate3_cells_violation-judgment.csv,ok,
C-crossenv-h,cross-environment h degradation,-0.0024,-0.0047,0.0001,0.0000,no-claim,"cell bootstrap, 2000",22,tables_gate4/D_cross_env_h.csv,soften,"Part D carries NO success criterion. CI includes 0, so the cross-environment result is reported as consistent with no degradation and is not claimed as transfer."
