dataset,target,assessor,arm,scope,n,auroc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4765,0.795800
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4765,0.882961
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4765,0.872047
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,0.839291
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4765,0.695891
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4765,0.723458
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4765,0.717954
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,0.670798
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4765,0.616967
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4765,0.584122
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4765,0.601261
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,0.547684
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4765,0.844388
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4765,0.893136
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4765,0.883026
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,0.877118
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4765,0.391210
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4765,0.555097
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4765,0.523693
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,0.498185
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6482,0.738092
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,6482,0.868078
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,6482,0.835539
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6482,0.830934
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,6482,0.622690
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,6482,0.608034
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,6482,0.611260
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6482,0.616279
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-thought,6482,0.552630
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-action,6482,0.503892
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,6482,0.522454
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6482,0.478167
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-thought,6482,0.735201
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-action,6482,0.856489
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-mean,6482,0.821136
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6482,0.848208
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-thought,6482,0.470986
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-action,6482,0.540704
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-mean,6482,0.519589
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6482,0.420501
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6604,0.699363
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-action,6604,0.823367
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-mean,6604,0.782919
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6604,0.797210
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6604,0.614290
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6604,0.598624
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6604,0.593989
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6604,0.582788
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-thought,6604,0.534386
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-action,6604,0.483235
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-mean,6604,0.500619
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6604,0.475384
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,6604,0.689679
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,6604,0.814959
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-mean,6604,0.764957
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6604,0.804900
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,6604,0.474471
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-action,6604,0.523550
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-mean,6604,0.507486
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6604,0.431178
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-thought,4113,0.637520
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-action,4113,0.657175
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-mean,4113,0.652537
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,4113,0.624681
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-thought,4265,0.694734
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-action,4265,0.714711
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-mean,4265,0.710005
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,4265,0.671534
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3197,0.759332
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-action,3197,0.823178
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-mean,3197,0.815457
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3197,0.756965
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3197,0.571820
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3197,0.627343
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3197,0.621956
