dataset,target,assessor,arm,scope,n,auroc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4492,0.671656
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4492,0.719671
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4492,0.705356
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4492,0.705544
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4492,0.682650
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4492,0.686716
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4492,0.682523
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4492,0.723150
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4492,0.701052
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4492,0.691715
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4492,0.699276
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4492,0.662239
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4492,0.688943
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4492,0.747081
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4492,0.722894
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4492,0.719017
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4492,0.543778
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4492,0.631959
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4492,0.613100
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4492,0.605111
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6321,0.661741
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,6321,0.792546
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,6321,0.746648
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6321,0.753543
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,6321,0.592985
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,6321,0.670348
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,6321,0.636683
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6321,0.677181
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-thought,6321,0.582978
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-action,6321,0.659347
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,6321,0.632621
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6321,0.600684
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-thought,6321,0.682647
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-action,6321,0.817653
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-mean,6321,0.778580
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6321,0.782885
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-thought,6321,0.456456
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-action,6321,0.594952
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-mean,6321,0.540555
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6321,0.547767
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6452,0.510805
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-action,6445,0.641959
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-mean,6445,0.573628
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6445,0.638252
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6452,0.538277
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6445,0.596704
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6445,0.553805
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6445,0.641694
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-thought,6452,0.572170
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-action,6445,0.617087
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-mean,6445,0.607711
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6445,0.558468
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,6452,0.544958
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,6445,0.659437
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-mean,6445,0.602686
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6445,0.619343
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,6452,0.492973
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-action,6445,0.538497
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-mean,6445,0.524658
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6445,0.506348
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,SPLIT-thought,3236,0.772726
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,SPLIT-action,3032,0.790637
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,AGG-mean,3032,0.768417
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-thought,4470,0.688793
